smiles,DM,FHM,LP,PKs,RT,SHM,TP,group
CCNc1nc(NC(C)(C)C)nc(OC)n1,0,0,,,0,,,test
COC(=O)C1(O)c2ccccc2-c2ccc(Cl)cc21,1,1,1,,1,,,valid
CC=CC1C(C(=O)OCc2c(F)c(F)c(COC)c(F)c2F)C1(C)C,1,,,,,,,training
CC(C)(C)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,1,1,,,,,,training
O=[N+]([O-])c1ccc(O)cc1F,,,,,,,1,training
Cc1ccc(S(=O)(=O)n2ccnc2)cc1,0,0,,,,,,training
CCCN(CCOc1c(Cl)cc(Cl)cc1Cl)C(=O)n1ccnc1,1,,,,1,,,training
Cc1cnc2c(C(=O)O)c(Cl)ccc2c1,0,,,,0,,,training
COP(=O)(CC(C)=O)OC,,,,,1,,,training
ClC(Cl)C(Cl)(Cl)Cl,0,1,,,,,,training
CCC(C)CN,,,,,,,1,test
O=[N+]([O-])c1cc(F)cc(I)c1,,,,,,,1,valid
Cc1cc(C)c([N+](=O)[O-])c(C)c1,,,,,,,1,training
CC(=O)CCC=C(C)C,0,0,,,,,1,training
CNC(=O)Oc1ccccc1OC(C)C,1,1,1,,1,,,training
Cc1cc(Cl)ccc1OC(C)C(=O)O,0,,0,,0,,,training
NCCNCCNCCNCCN,0,,,0,,,,training
COc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,1,1,,,,,,training
Cc1ccc(N=C=O)cc1N=C=O,,0,,,0,,,training
CCc1ccc(C(c2ccc(CC)cc2)C(Cl)Cl)cc1,,,1,,1,,,training
CC(C)(C)CN,,0,,,,,,test
CCCCCCCC[S+]([O-])C(C)Cc1ccc2c(c1)OCO2,,1,,,,,,valid
O=[N+]([O-])c1ccc2c3c(cccc13)-c1ccccc1-2,,,,0,,,,training
Clc1cccc2ccccc12,1,0,1,0,,1,,training
ClCc1ccccc1,1,1,,,,,1,training
C=CC(O)CC,,,,,,,0,training
CC=CC,0,,,,,,,training
CCCCCC#CCCO,,,,,,,1,training
CCC(CO)c1ccccc1,,,,,,,1,training
CCCCC(CC)C(=O)O,0,,,,,,1,training
Cc1ccc(C(=O)O)cc1,0,,,1,,,,test
CCOC(=O)CCl,1,,,,,,,valid
COc1nc(C)nc(NC(=O)NS(=O)(=O)c2ccccc2C(=O)O)n1,,,,,0,,,training
CCS(=O)(=O)CC,,,,,,,0,training
Nc1c(Br)cc(Br)cc1[N+](=O)[O-],,,,,,,1,training
O=C1c2ccccc2C(=O)c2c1cccc2S(=O)(=O)[O-],0,,,,,,,training
O[C@@H]1C[C@H]2CC[C@@H]1C2,,0,,,,,,training
CCC(=O)O,0,,0,,0,,0,training
CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCCCCC,,1,1,,1,1,,training
CCCCCC(=O)c1ccccc1,,,,,,,1,training
C#CCC1=C(C)[C@@H](OC(=O)[C@H]2[C@H](C=C(C)C)C2(C)C)CC1=O,,,,,1,,,test
CC(C)[C@@H](Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,,,1,,1,1,,valid
